Edge Type,Tier,required,recommended,conditionally_required,optional,forbidden
road,Tier 1,"edge_id, street_name, edge_type",--,--,"reference_ids, from_node, to_node, directionality, width, width_min, width_tolerance, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, bridge, prohibited_uses, allowed_uses, surface_material, surface_issue, status, seasonal, incline, cross_slope, cross_slope_max, impediment, date_built, check_date, traffic_calming, curb_height, detectable_warning, measured_length","road_associated, facility_name, bikeway_type, bikeway_grade_separation, separation_elements, separation_permeable_car, buffer_width, street_parking, street_parking_buffer, mup_modal_delineation, pedestrian_lane, ada_compliance, ada_compliance_date, ada_compliance_standard, step_count, handrail, wheel_channel, official, presence, rail, visual_markings, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
road,Tier 2,"edge_id, street_name, edge_type, from_node, to_node, incline",bridge,--,"reference_ids, directionality, width, width_min, width_tolerance, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, prohibited_uses, allowed_uses, surface_material, surface_issue, status, seasonal, cross_slope, cross_slope_max, impediment, date_built, check_date, traffic_calming, curb_height, detectable_warning, measured_length","road_associated, facility_name, bikeway_type, bikeway_grade_separation, separation_elements, separation_permeable_car, buffer_width, street_parking, street_parking_buffer, mup_modal_delineation, pedestrian_lane, ada_compliance, ada_compliance_date, ada_compliance_standard, step_count, handrail, wheel_channel, official, presence, rail, visual_markings, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
road,Tier 3,"edge_id, street_name, edge_type, from_node, to_node, bridge, incline","traffic_calming, curb_height",--,"reference_ids, directionality, width, width_min, width_tolerance, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, prohibited_uses, allowed_uses, surface_material, surface_issue, status, seasonal, cross_slope, cross_slope_max, impediment, date_built, check_date, detectable_warning, measured_length","road_associated, facility_name, bikeway_type, bikeway_grade_separation, separation_elements, separation_permeable_car, buffer_width, street_parking, street_parking_buffer, mup_modal_delineation, pedestrian_lane, ada_compliance, ada_compliance_date, ada_compliance_standard, step_count, handrail, wheel_channel, official, presence, rail, visual_markings, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
road,Tier 4,"edge_id, street_name, edge_type, from_node, to_node, bridge, incline","traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, traffic_calming, curb_height",--,"reference_ids, directionality, width, width_min, width_tolerance, prohibited_uses, allowed_uses, surface_material, surface_issue, status, seasonal, cross_slope, cross_slope_max, impediment, date_built, check_date, detectable_warning, measured_length","road_associated, facility_name, bikeway_type, bikeway_grade_separation, separation_elements, separation_permeable_car, buffer_width, street_parking, street_parking_buffer, mup_modal_delineation, pedestrian_lane, ada_compliance, ada_compliance_date, ada_compliance_standard, step_count, handrail, wheel_channel, official, presence, rail, visual_markings, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
sidewalk,Tier 1,"edge_id, edge_type",--,--,"road_associated, reference_ids, street_name, facility_name, from_node, to_node, directionality, width, width_min, width_tolerance, separation_elements, separation_permeable_car, buffer_width, street_parking, street_parking_buffer, bridge, prohibited_uses, allowed_uses, surface_material, surface_issue, status, seasonal, pedestrian_lane, incline, cross_slope, cross_slope_max, ada_compliance, impediment, date_built, check_date, presence, visual_markings, detectable_warning, measured_length","bikeway_type, bikeway_grade_separation, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, mup_modal_delineation, step_count, handrail, wheel_channel, traffic_calming, curb_height, official, rail, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
sidewalk,Tier 2,"edge_id, street_name, edge_type, width, surface_material, incline, cross_slope","status, pedestrian_lane, ada_compliance, detectable_warning, measured_length","ada_compliance_date, ada_compliance_standard","road_associated, reference_ids, facility_name, from_node, to_node, directionality, width_min, width_tolerance, separation_elements, separation_permeable_car, buffer_width, street_parking, street_parking_buffer, bridge, prohibited_uses, allowed_uses, surface_issue, seasonal, cross_slope_max, impediment, date_built, check_date, presence, visual_markings","bikeway_type, bikeway_grade_separation, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, mup_modal_delineation, step_count, handrail, wheel_channel, traffic_calming, curb_height, official, rail, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
sidewalk,Tier 3,"edge_id, street_name, edge_type, width, surface_material, status, incline, cross_slope, detectable_warning","from_node, to_node, width_min, separation_elements, buffer_width, bridge, surface_issue, pedestrian_lane, cross_slope_max, ada_compliance, impediment, date_built, check_date, visual_markings, measured_length","ada_compliance_date, ada_compliance_standard","road_associated, reference_ids, facility_name, directionality, width_tolerance, separation_permeable_car, street_parking, street_parking_buffer, prohibited_uses, allowed_uses, seasonal, presence","bikeway_type, bikeway_grade_separation, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, mup_modal_delineation, step_count, handrail, wheel_channel, traffic_calming, curb_height, official, rail, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
sidewalk,Tier 4,"edge_id, street_name, edge_type, width, surface_material, surface_issue, status, incline, cross_slope, impediment, detectable_warning","from_node, to_node, width_min, separation_elements, buffer_width, bridge, pedestrian_lane, cross_slope_max, ada_compliance, date_built, check_date, visual_markings, measured_length","ada_compliance_date, ada_compliance_standard","road_associated, reference_ids, facility_name, directionality, width_tolerance, separation_permeable_car, street_parking, street_parking_buffer, prohibited_uses, allowed_uses, seasonal, presence","bikeway_type, bikeway_grade_separation, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, mup_modal_delineation, step_count, handrail, wheel_channel, traffic_calming, curb_height, official, rail, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
footpath,Tier 2,"edge_id, edge_type","status, ada_compliance, detectable_warning","ada_compliance_date, ada_compliance_standard","road_associated, reference_ids, street_name, facility_name, from_node, to_node, directionality, width, width_min, width_tolerance, separation_elements, separation_permeable_car, buffer_width, street_parking, street_parking_buffer, bridge, prohibited_uses, allowed_uses, surface_material, surface_issue, seasonal, incline, cross_slope, cross_slope_max, impediment, date_built, check_date, presence, visual_markings, measured_length","bikeway_type, bikeway_grade_separation, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, mup_modal_delineation, pedestrian_lane, step_count, handrail, wheel_channel, traffic_calming, curb_height, official, rail, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
footpath,Tier 3,"edge_id, edge_type, width, surface_material, status, incline, cross_slope, detectable_warning","from_node, to_node, width_min, separation_elements, buffer_width, bridge, surface_issue, cross_slope_max, ada_compliance, impediment, date_built, check_date, visual_markings, measured_length","ada_compliance_date, ada_compliance_standard","road_associated, reference_ids, street_name, facility_name, directionality, width_tolerance, separation_permeable_car, street_parking, street_parking_buffer, prohibited_uses, allowed_uses, seasonal, presence","bikeway_type, bikeway_grade_separation, traffic_volume, posted_speed_limit, car_freeflow_speed, thru_lanes, aux_lanes, shoulder_width, roadway_centerline, mup_modal_delineation, pedestrian_lane, step_count, handrail, wheel_channel, traffic_calming, curb_height, official, rail, vehicle_traffic_control , cross_vehicle_traffic_control , ped_traffic_control , ped_protection"
