Node Type,Tier,required,recommended,conditionally_required,optional,forbidden
virtual,Tier 3,"node_id, node_type","curb_type, rail_crossing",--,--,"presence, date_built, check_date, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, gtfs_id, traffic_calming_type"
virtual,Tier 4,"node_id, node_type","curb_type, rail_crossing",--,--,"presence, date_built, check_date, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, gtfs_id, traffic_calming_type"
curb_ramp,Tier 1,"node_id, node_type",--,--,"presence, date_built, check_date, ada_compliance, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, status","curb_type, rail_crossing, gtfs_id, traffic_calming_type"
curb_ramp,Tier 2,"node_id, node_type","date_built, check_date, ada_compliance, status","ada_compliance_date, ada_compliance_standard","presence, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue","curb_type, rail_crossing, gtfs_id, traffic_calming_type"
curb_ramp,Tier 3,"node_id, node_type, incline, cross_slope, width, detectable_warning, status","date_built, check_date, ada_compliance, ramp_type, impediment, surface_issue","ada_compliance_date, ada_compliance_standard",presence,"curb_type, rail_crossing, gtfs_id, traffic_calming_type"
curb_ramp,Tier 4,"node_id, node_type, incline, cross_slope, width, detectable_warning, impediment, surface_issue, status","date_built, check_date, ada_compliance, ramp_type","ada_compliance_date, ada_compliance_standard",presence,"curb_type, rail_crossing, gtfs_id, traffic_calming_type"
ramp,Tier 1,"node_id, node_type",--,--,"presence, date_built, check_date, ada_compliance, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, status","curb_type, rail_crossing, gtfs_id, traffic_calming_type"
ramp,Tier 2,"node_id, node_type",ada_compliance,"ada_compliance_date, ada_compliance_standard","presence, date_built, check_date, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, status","curb_type, rail_crossing, gtfs_id, traffic_calming_type"
ramp,Tier 3,"node_id, node_type, incline, cross_slope, width, detectable_warning","date_built, check_date, ada_compliance, impediment, surface_issue, status","ada_compliance_date, ada_compliance_standard","presence, ramp_type","curb_type, rail_crossing, gtfs_id, traffic_calming_type"
ramp,Tier 4,"node_id, node_type, incline, cross_slope, width, detectable_warning, impediment, surface_issue, status","date_built, check_date, ada_compliance","ada_compliance_date, ada_compliance_standard","presence, ramp_type","curb_type, rail_crossing, gtfs_id, traffic_calming_type"
elevator,Tier 3,"node_id, node_type","date_built, check_date, ada_compliance, status","ada_compliance_date, ada_compliance_standard",presence,"curb_type, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, rail_crossing, gtfs_id, traffic_calming_type"
elevator,Tier 4,"node_id, node_type, status","date_built, check_date, ada_compliance","ada_compliance_date, ada_compliance_standard",presence,"curb_type, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, rail_crossing, gtfs_id, traffic_calming_type"
transit_stop,Tier 3,--,gtfs_id,--,--,"node_id, node_type, presence, date_built, check_date, curb_type, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, rail_crossing, traffic_calming_type, status"
transit_stop,Tier 4,--,gtfs_id,--,--,"node_id, node_type, presence, date_built, check_date, curb_type, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, rail_crossing, traffic_calming_type, status"
issue,Tier 3,"node_id, node_type","check_date, impediment, surface_issue",--,--,"presence, date_built, curb_type, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, rail_crossing, gtfs_id, traffic_calming_type, status"
issue,Tier 4,"node_id, node_type, impediment, surface_issue",check_date,--,--,"presence, date_built, curb_type, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, rail_crossing, gtfs_id, traffic_calming_type, status"
traffic_calming,Tier 3,"node_id, node_type","date_built, check_date, traffic_calming_type",--,"presence, status","curb_type, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, rail_crossing, gtfs_id"
traffic_calming,Tier 4,"node_id, node_type, traffic_calming_type","date_built, check_date",--,"presence, status","curb_type, ada_compliance, ada_compliance_date, ada_compliance_standard, incline, cross_slope, width, ramp_type, detectable_warning, impediment, surface_issue, rail_crossing, gtfs_id"
