Name,Type,Description
edge_id,ID,"A unique identifier for the edge. 

[NOTE: We will fill in instructions here on how to generate IDs, and we will also provide a data validator that may be capable of validating and helping to fill in these IDs.] "
reference_ids,Array&lt;Object>,"Can be used to add reference IDs to other data sources such as OSM, Overture, ARNOLD, HMPS, TIGER, Census road network, etc.). Should be an array of JSONs with the source name and ID pair. Each JSON should contain an ID field and source field at minimum. 

Example:
[ 
{ ""source"": ""OpenStreetMap"", ""id"": ""w1234"" }, 
{ ""source"": ""TIGER"", ""id"": ""110739476769"" } 
{ ""source"": ""ARNOLD"", ""id"": ""140"", ""begin_mi"": 2.3, ""end_mi"": 4.5}
] "
street_name,Text,"Specifies the name of a road associated with the edge, such as the street along which a sidewalk or cycleway runs. In many cases, routing engines can fill in the closest street name for travelers to see. Use this attribute to specify the associated street explicitly or to correct an error within routing engines.

Example:
""Maple Avenue"""
facility_name,Text,"The common or official name for this edge, by which travelers might recognize it. The same facility_name may be used for multiple edges, such as segments that make up a longer distance multi-use path with a name (ex. ""Atlanta BeltLine"").

Example:
""Atlanta Beltline"", ""Washington and Old Dominion Trail"", ""Minutemen Bikeway"", ""Lenape Trail"", ""East Coast Greenway"""
curb_ramp_system_id,Text,"An identifier to link any nodes and edges that are involved in the same ""curb ramp system,"" which is the network of elements that sidewalk users use to transition from a sidewalk to a crossing. 

This may include sidewalk edges, curb_ramp_toplanding, curb_ramp_runslope, and crosswalk edges, as well as sidewalk_to_ramp, bottom_of_ramp or generic nodes. 

"
edge_type,Enum,"Indicates the type of edge.

Valid options:
(Same as Edge Types)"
from_node,ID,"This attribute is used to identify the node where an edge begins, using the node_id attribute on the nodes table. This information is needed for routing via metadata but is optional for data designed to be routed via fully connected geospatial data."
to_node,ID,"This attribute is used to identify the node where an edge ends, using the node_id attribute on the nodes table. This information is needed for routing via metadata but is optional for data designed to be routed via fully connected geospatial data."
directionality,Enum,"Specifies the directionality of the edge. If the edge is bidirectional, choose “both.” Used to help identify when bicycle infrastructure allows traffic in both directions. If left blank, ""both"" is assumed. See the Playbook for a fuller explanation of the directionality of geometric linework and how different GATIS attributes relate.

Valid options:
forward
backward
both"
width_in,Integer,"Average or typical width of the edge. Measured in inches and rounded to the nearest inch. Cannot be negative. Use width_tolerance_in to describe the variance in the width along this edge. If the width changes substantially, the edge should be segmented into multiple edges with differing width_in values.

Example:
30"
height_max_passable_in,Integer,"The passable height of the edge at the point where it is the shortest. Measured in inches and rounded to the nearest inch. Cannot be negative.

Example:
80"
width_min_passable_in,Integer,"The passable width of the edge at the point where it is narrowest. Measured in inches and rounded to the nearest inch. Cannot be negative.

Example:
28"
width_tolerance_in,Integer,"Used to specify the tolerance of the width measurement in inches. Everything along the edge should be within +/- of this width.

Example:
1"
bridge,Boolean,"Indicates if the edge is or is on a bridge. Can be used for any bridge type, including road bridges (with or without bike lanes) and pedestrian and bike bridges. 

Valid options:
yes
no"
underpass_tunnel,Boolean,"Indicates that the edge represents an underground path, such as a tunnel or an underpass. 

Valid options:
yes
no"
overpass_skywalk,Boolean,"Indicates that the edge represents a skywalk, pedestrian or bicycle overpass, or other elevated infrastructure that is not a bridge.

Valid options:
yes
no"
above_below_grade_ft,Text,"Height of the path above/below grade, measured in feet and rounded to the closest foot. If below grade, provide the value as a negative number. (Ex. if the path is 10 feet above grade, this attribute would equal ""10"".)

For uncertain heights, use an appropriate description from the list: ""above"", ""below"", ""at grade""

Example:
above"
building_level,Text,"Level of the building or structure the path is on, as labelled for users inside the building. 

Intended to capture the fact that often floor 1 isn't the level at-grade and sometimes buildings skip floors or label below-grade floors ""B"" or ""SB"".

Example:
B"
status,Enum,"Most recent operating status of the segment. Whether the infrastructure is open and available for use. If left blank, status is assumed ""unknown.""

Valid options:
open
closed
under construction
proposed and funded
proposed - not yet funded
unknown"
date_built,Date,"When the facility was officially opened for use. date_built represents the original opening date. Use the Events extension to record details about construction history, remodeling, removal and other physical changes.

Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available.

Example:
2025-03
2014"
last_inspection_date,Date,"The date that this infrastructure was last inspected. Report in RFC 3339 format containing day, month and year, or just month and year or year if day or month is not available.

Example:
2025-03
2014"
curb_height_in,Integer,Indicates typical height of the curb along this segment of the road; can be used in deciding whether to route specific pedestrians off the sidewalk when there are obstructions or discontinuities. Measured and rounded to the nearest inch. Cannot be negative.
official,Array&lt;Text>,"Indicates whether a trail has been officially designated by a government body or other recognized organization, with a string of the name of the recognizing body and/or a URL to the source/reference to the recognition for users to verify and see additional information. If not an official trail, the value should be ""no."" If left blank, the trail is assumed official and managed by a local government agency.

Example:
[""https://greenway.org/route-map""]
[""East Coast Greenway Alliance""]"
presence,Enum,"Indicates whether the piece of infrastructure exists or is present. When other attributes are provided, the existence of the infrastructure can be assumed. This attribute is useful for identifying where a sidewalk or a crossing might be missing or where its presence is unknown. Conditionally required if no other identfiying fields supplied.

Valid options:
yes
no
missing
unknown

Example:
cycleway:left:presence=yes, cycleway:right:buffer:presence=yes"
measured_length_ft,Float,"The measured length of the edge in feet. Represent partial feet using decimals.

Note that geospatial data also contains a length attribute by default that may be useful in some cases. Measuring the traversable length of the segment is preferable."
bikeway_type,Text,"Common name used for the bicycle facility type. Should align with the National Bikeway Network, NACTO, or AASHTO facility types.

Recommended options:
Bike Lane
Buffered Bike Lane
Separated Bike Lane
Counter-Flow Bike Lane
Bicycle Boulevard
Paved Shoulder
Shared Lane"
bikeway_grade_separation,Enum,"The vertical level of the bikeway with respect to the road. Not meant for bikeways that are not road associated.

Valid options:
at_grade
raised
sidewalk_level"
separation_elements,Array&lt;Text>,"The materials used to separate the cycleway or footway from motor vehicle traffic -- for example, as part of a buffer.

Recommended options:
bollards
concrete barrier
parking
median
trees  unknown

Example:
[""bollards"",""concrete barrier""]"
separation_permeable_car,Enum,"Whether a motor vehicle can easily access this edge. Primarily intended for bikeways but can be used for pedestrian facilities.

Valid options:
hard separator:  the separator cannot be easily bypassed by motor vehicles (jersey barriers
curbs)

soft separator: the separator can be easily bypassed by motor vehicles (flex posts
k-rail)

none: no separator is present (just paint separation)"
buffer_width_ft,Float,"Distance between the edge of the motor vehicle travel lane and the bike lane or sidewalk. Measured in feet, with partial feet represented using decimals. Cannot be negative.

Example:
4"
