Name,Type,Description
point_id,ID,"A unique identifier for the point. 

[NOTE: We will fill in instructions here on how to generate IDs, and we will also provide a data validator that may be capable of validating and helping to fill in these IDs.] "
point_type,Enum,"Indicates the type of point.

Valid options:
[Same as Point Types]"
object_type,Text,"Used to indicate objects that appear near the sidewalk or street space that, depending on the traveler, may be an amenity or an obstruction. Buffers around these points can be used to factor them into routing algorithms. If an object is on the pedestrian way, consider marking it with an issue node instead.

Recommended options:
bench
lighting
wastebasket
restroom
water fountain
parklet / kiosk
pet station
transit stop bench
transit stop shelter
bicycle shop / repair
permanent bollards
removable bollards
gate
fencing"
reference_ids,Array&lt;Object>,"Can be used to add reference IDs to other datasources such as OSM, OpenLR, ARNOLD, HMPS, TIGER, Census road network, OSM, etc.). Should be an array of JSONs with the source name and ID pair. Each JSON should contain an ID field and source field at minimum. Can add other attributes such as the beginning and ending milepost from a linear referencing system.

Example:
[ 
{ ""source"": ""OpenStreetMap"", ""id"": ""w1234"" }, 
{ ""source"": ""TIGER"", ""id"": ""110739476769"" } 
{ ""source"": ""ARNOLD"", ""id"": ""140"", ""begin_mi"": 2.3, ""end_mi"": 4.5}
] "
accessibility_features,Array&lt;Enum>,"Features available as part of this infrastructure for accessibility related to signage, digital signage, benches, kiosks, transit stops, etc.

Valid options:
braille_message
detectable_base
auditory_message
multilingual"
sign_message,Text,"Provides the text that appears on the sign. Include only the visible text, and do not wrap it in quotation marks or other punctuation. If this attribute is blank, ensure that the sign_name attribute is filled out, and vice versa.

Example:
State law: Stop for pedestrians in crosswalk"
sign_association,Array&lt;Object>,"Indicates the GATIS ID of any infrastructure this sign refers to. For example, if a sign tells pedestrians that state law requires vehicles to yield to them in the crosswalk, this attribute can be used to indicate the GATIS ID of the specific crosswalk or crosswalks.

Example:
[12345, 23456]"
sign_designation,Text,"Indicates the type of sign as described within the MUTCD, within the ""Sign Designation"" field (https://mutcd.fhwa.dot.gov/kno-shs_2024-release-status/index.htm).

Example:
R9-5"
sign_name,Text,"Indicates the type of sign as described within the MUTCD, within the ""Sign Name"" field (https://mutcd.fhwa.dot.gov/kno-shs_2024-release-status/index.htm). Match the text exactly to what appears in MUTCD, including punctuation and spaces. If this attribute is blank, ensure that the sign_verbiage attribute is filled out, and vice versa.

Example:
Bicycles Use Pedestrian Signal"
surface_issue,Array&lt;Enum>,"Identifies the type of damage or surface quality issue that may pose a challenge for travelers.  

Valid options:
cracking
scaling
spalling
uneven / displacement
frequent water pooling
heaving
missing bricks / stones
grates / utility covers / other surface impediments
potholes / holes
slickness
uneven joints
markings worn / missing
detectable warning surface damage
other"
