nodes Type,Tier,required,recommended,optional,forbidden
generic,Tier 3,"node_id, node_type","curb_type, rail_crossing_control","curb_ramp_system_id, reference_ids","presence, date_built, last_inspection_date, ada_compliance_date, ada_compliant_with, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer"
generic,Tier 4,"node_id, node_type","curb_type, rail_crossing_control","curb_ramp_system_id, reference_ids","presence, date_built, last_inspection_date, ada_compliance_date, ada_compliant_with, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer"
curb_ramp,Tier 1,"node_id, node_type",--,"presence, reference_ids, date_built, last_inspection_date, ada_compliance_date, ada_compliant_with, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer","curb_ramp_system_id, curb_type, rail_crossing_control"
curb_ramp,Tier 2,"node_id, node_type","ada_compliance_date, ada_compliant_with","presence, reference_ids, date_built, last_inspection_date, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer","curb_ramp_system_id, curb_type, rail_crossing_control"
curb_ramp,Tier 3,"node_id, node_type","date_built, last_inspection_date, ada_compliance_date, ada_compliant_with, incline, cross_slope, width_in, detectable_warning, impediment, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer","presence, reference_ids, ramp_type","curb_ramp_system_id, curb_type, rail_crossing_control"
curb_ramp,Tier 4,"node_id, node_type","date_built, last_inspection_date, ada_compliance_date, ada_compliant_with, incline, cross_slope, width_in, detectable_warning, impediment, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer","presence, reference_ids, ramp_type","curb_ramp_system_id, curb_type, rail_crossing_control"
sidewalk_to_ramp_transition,Tier 3,"node_id, node_type, curb_ramp_system_id","date_built, last_inspection_date, ada_compliance_date, ada_compliant_with",reference_ids,"presence, curb_type, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, rail_crossing_control, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer"
sidewalk_to_ramp_transition,Tier 4,"node_id, node_type, curb_ramp_system_id","date_built, last_inspection_date, ada_compliance_date, ada_compliant_with",reference_ids,"presence, curb_type, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, rail_crossing_control, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer"
ramp_to_street_transition,Tier 3,"node_id, node_type, curb_ramp_system_id","date_built, last_inspection_date, ada_compliance_date, ada_compliant_with",reference_ids,"presence, curb_type, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, rail_crossing_control, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer"
ramp_to_street_transition,Tier 4,"node_id, node_type, curb_ramp_system_id","date_built, last_inspection_date, ada_compliance_date, ada_compliant_with",reference_ids,"presence, curb_type, incline, cross_slope, width_in, ramp_type, detectable_warning, impediment, rail_crossing_control, surface_issue, status, other_issue, last_inspection_type, lifecycle_stage, maintenance_schedule, planned_work, owner, maintainer"
