points Type,Tier,required,recommended,conditionally_required,conditionally_forbidden,optional,forbidden
object,Tier 3,"point_id, point_type, object_type",--,--,--,"reference_ids, accessibility_features, impediment","sign_message, sign_association, sign_designation, sign_name, surface_issue, gtfs_agency_id, gtfs_stop_id, other_issue, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, parking_type, parking_id, parking_provider, parking_data_URL, last_inspection_date, date_built, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
object,Tier 4,"point_id, point_type, object_type",--,--,--,"reference_ids, accessibility_features, impediment","sign_message, sign_association, sign_designation, sign_name, surface_issue, gtfs_agency_id, gtfs_stop_id, other_issue, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, parking_type, parking_id, parking_provider, parking_data_URL, last_inspection_date, date_built, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
sign,Tier 4,"point_id, point_type",--,--,--,"reference_ids, accessibility_features, sign_message, sign_association, sign_designation, sign_name, other_issue, last_inspection_date, date_built","object_type, surface_issue, impediment, gtfs_agency_id, gtfs_stop_id, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, parking_type, parking_id, parking_provider, parking_data_URL, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
transit_stop,Tier 3,"point_id, point_type, gtfs_agency_id, gtfs_stop_id",--,--,--,"reference_ids, accessibility_features, surface_issue, impediment, other_issue","object_type, sign_message, sign_association, sign_designation, sign_name, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, parking_type, parking_id, parking_provider, parking_data_URL, last_inspection_date, date_built, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
transit_stop,Tier 4,"point_id, point_type, gtfs_agency_id, gtfs_stop_id",--,--,--,"reference_ids, accessibility_features, surface_issue, impediment, other_issue","object_type, sign_message, sign_association, sign_designation, sign_name, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, parking_type, parking_id, parking_provider, parking_data_URL, last_inspection_date, date_built, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
issue,Tier 4,"point_id, point_type",--,--,--,"reference_ids, surface_issue, impediment, other_issue","object_type, accessibility_features, sign_message, sign_association, sign_designation, sign_name, gtfs_agency_id, gtfs_stop_id, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, parking_type, parking_id, parking_provider, parking_data_URL, last_inspection_date, date_built, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
counter,Tier 3,"point_id, point_type, counter_site_id",--,--,--,"reference_ids, counter_site_name, counter_data_source, counter_data_URL, counter_comments","object_type, accessibility_features, sign_message, sign_association, sign_designation, sign_name, surface_issue, impediment, gtfs_agency_id, gtfs_stop_id, other_issue, parking_type, parking_id, parking_provider, parking_data_URL, last_inspection_date, date_built, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
counter,Tier 4,"point_id, point_type, counter_site_id",--,--,--,"reference_ids, counter_site_name, counter_data_source, counter_data_URL, counter_comments","object_type, accessibility_features, sign_message, sign_association, sign_designation, sign_name, surface_issue, impediment, gtfs_agency_id, gtfs_stop_id, other_issue, parking_type, parking_id, parking_provider, parking_data_URL, last_inspection_date, date_built, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
bike_parking,Tier 4,"point_id, point_type, parking_type","parking_id, parking_provider, parking_data_URL",--,--,"reference_ids, accessibility_features, surface_issue, impediment, other_issue, date_built","object_type, sign_message, sign_association, sign_designation, sign_name, gtfs_agency_id, gtfs_stop_id, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, last_inspection_date, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec, traffic_calming_type"
traffic_calming,Tier 3,"point_id, point_type, traffic_calming_type",date_built,--,--,"reference_ids, accessibility_features, other_issue, last_inspection_date","object_type, sign_message, sign_association, sign_designation, sign_name, surface_issue, impediment, gtfs_agency_id, gtfs_stop_id, counter_site_id, counter_site_name, counter_data_source, counter_data_URL, counter_comments, parking_type, parking_id, parking_provider, parking_data_URL, ada_compliance_date, ada_compliant_with, button, button_vert_height_in, tactile_message, auditory_message, actuation_type, crossing_time_sec"
