Attribute Name,Attribute Alias Name,Data Type,Unique Values,Statistics,Unique Counts,Null Percent,Associated Element,Dataset Alias,Info URL,Mode
,barrier type,Categorical,"chain linked fence, dense shrubs, raised traffic bars, concrete barrier, steel guard railing",,,,bike facility (unknown),California report,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,pedestrian
,bicycle accomodation year,Date,,,,,bike/road centerline segment,Virginia Bike Facilities,,
,bicycle facility length,Decimal,,,,,bicycle centerline segment,Portland Bicycle Network,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-network/about,bike
,bicycle facility SCS / type,Categorical,"major city bikeway, neighborhood greenway, none, other significant bike lanes, other",,,,bicycle centerline segment,Portland Bicycle Network,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-network/about,bike
,bicycle facility status,Categorical,"no status defined, recommended, active, retired, planned, other",,,,bicycle centerline segment,Portland Bicycle Network,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-network/about,bike
,bicycle facility surface type,Categorical,"asphalt, concrete, crushed stone, paved, crushed gravel, cement, asphalt / crushed gravel, mixed, other",,,,bike/road centerline segment,Virginia Bike Facilities,,
,bicycle facility type,Categorical,"designated bike lane, shared lane (sharrows), shared use path, sidewalk, natural surface trail, paved shoulder, sidewalk",,,,bike/road centerline segment,Virginia Bike Facilities,,
,bicycle facility type,Categorical,"no facility, neighborhood greenway, separated in-roadway, bike lane, buffered bike lane, protected bike lane, enhanced shared roadway, off-street paths / trails, advisory bike lane, BBBL, other",,,,bicycle centerline segment,Portland Bicycle Network,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-network/about,bike
,bicycle facility type,Categorical,"shared roadway (low traffic), bike lane, neighborhood greenway, bike lane (protected, buffered), multi-use path (paved), difficult connection, shared roadway (moderate traffic, with wider outside lane), shared roadway (difficult connection), sidewalk connection, multi-use path (unpaved), other",,,,bicycle centerline segment,Portland Recommended Bicycle Routes,https://gis-pdx.opendata.arcgis.com/datasets/PDX::recommended-bicycle-routes/about,bike
,bicycle facility type (more categories),Categorical,"standard bike lane, shared lane pavement markings / sharrows, signed bicycle route, buffered bike lane, shared roadway, no signs or markings, sidepath, sharrows / signed route, LOCAL, other",,,,bike/road centerline segment,Virginia Bike Facilities,,
,bicycle facility type (VDOT),Categorical,"shared use path, bike lane - conventional, shared lane markings, locally designated route, bike lane - buffered, bike lane - separated, sidewalk, bicycle route - signed, bike lane - contraflow, bike boulevard, other",,,,bike/road centerline segment,Virginia Bike Facilities,,
,bicycle facility year built,Date,,,,,bicycle centerline segment,Portland Bicycle Network,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-network/about,bike
,bicycle facility year retired,Date,,,,,bicycle centerline segment,Portland Bicycle Network,https://gis-pdx.opendata.arcgis.com/datasets/PDX::bicycle-network/about,bike
,bicycle lane miles,Decimal,,,,,bike/road centerline segment,Virginia Bike Facilities,,
,bike connector - length,Decimal,,,,,bike centerline segment,Maryland Road Separated Connectors,https://data-maryland.opendata.arcgis.com/datasets/maryland::road-separated-connectors/about,bike
,bike connector - route or connector,Categorical,"connector, private, connector with stairs, route, other",,,,bike centerline segment,Maryland Road Separated Connectors,https://data-maryland.opendata.arcgis.com/datasets/maryland::road-separated-connectors/about,bike
,bike facility - length,Decimal,,,,,roadway centerline segment,Philly / Camden Bike LTS,https://dvrpc-dvrpcgis.opendata.arcgis.com/datasets/dvrpcgis::dvrpc-level-of-traffic-stress-lts-network/about,bike
,bike facility condition,Categorical,"excellent, other",,,,bike route centerline segment,Seattle Bike Facilities,https://data-seattlecitygis.opendata.arcgis.com/maps/bf36bd11b499489d8cc1d491b72eb712/about,bike
,bike facility length,Decimal,,,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,bike facility length,Decimal,,,,,bike route centerline segment,Seattle Bike Facilities,https://data-seattlecitygis.opendata.arcgis.com/maps/bf36bd11b499489d8cc1d491b72eb712/about,bike
,bike facility material,Categorical,"MMA, CR, other",,,,bike route centerline segment,Seattle Bike Facilities,https://data-seattlecitygis.opendata.arcgis.com/maps/bf36bd11b499489d8cc1d491b72eb712/about,bike
,bike facility status,Categorical,"completed, other",,,,roadway centerline segment,Nashville Bikeways,https://data.nashville.gov/datasets/Nashville::bikeways/about,bike
,bike facility status,Categorical,"INSVC, PLNRECON, UNDERCONS",,,,bike route centerline segment,Seattle Bike Facilities,https://data-seattlecitygis.opendata.arcgis.com/maps/bf36bd11b499489d8cc1d491b72eb712/about,bike
,bike facility surface,Categorical,[waiting for data dictionary; integer values with no category crosswalk],,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,bike facility type,Categorical,"bike lane (separated), bike lane (painted), bike lane",,,,bike centerline segment,Arizona Bike Lanes,https://arizona-sun-cloud-agic.hub.arcgis.com/,bike
,bike facility type,Categorical,[waiting for data dictionary; integer values with no category crosswalk],,,,bike centerline segment,Massachusetts Bike Inventory,https://geo-massdot.opendata.arcgis.com/datasets/MassDOT::bike-inventory-current/about,bike
,bike facility type,Categorical,"paved path, side path, bike lane, wide curb lane, paved shoulders, sidewalk, wooden board",,,,bike centerline segment,Miami-Dade Bike Lane,https://gis-mdc.opendata.arcgis.com/datasets/bike-lane/about,bike
