Dataset Alias,Dataset Name,Mode,Description,Entity,State,Geographic area,How acquired,Last updated,Record Count,Field Count,Info URL,REST URL,Socrata URL,Download URL
Arizona Medians and Sidewalks,Medians and sidewalks,pedestrian,,Maricopa Association of Governments & ADOT,AZ,Arizona,Open data,2022,,,https://arizona-sun-cloud-agic.hub.arcgis.com/,,,
Caltrans Active Transportation Asset Inventory,Active Transportation Asset Inventory,both,,Caltrans,CA,California,Open data,,,,https://sv03tmcpo.ct.dot.ca.gov/portal/apps/webappviewer/index.html?id=49cfd2cfa06b4e078d131df264fee437,,,
California report,"Technical report: Develop a Plan to Collect Pedestrian Infrastructure and Volume Data
for Future Incorporation into Caltrans Accident Surveillance and
Analysis System Database _x000D_",pedestrian,,Caltrans,CA,California,Open data,2016,,,https://dot.ca.gov/-/media/dot-media/programs/research-innovation-system-information/documents/final-reports/ca17-2836-finalreport-a11y.pdf,,,
Denver Sidewalk Centerlines,Sidewalk centerlines,pedestrian,,Denver Regional Council of Governments,CO,Denver Metro Area,Open data,2022,,,https://data.drcog.org/dataset/sidewalk-centerlines-2022,,,
Denver Sidewalk Polygons,Sidewalk polygons,pedestrian,,Denver Regional Council of Governments,CO,"Denver, CO",Open data,2022,,,https://data.drcog.org/dataset/sidewalk-polygons-2022,,,
Denver Sidewalk Ramps,Sidewalk ramps,pedestrian,,Denver Regional Council of Governments,CO,"Denver, CO",Open data,2022,,,https://data.drcog.org/dataset/sidewalk-ramps-2022,,,
Denver Sidewalks Current,Sidewalks - Current,pedestrian,,Denver City Government,CO,"Denver, CO",Open Data,,,,https://opendata-geospatialdenver.hub.arcgis.com/datasets/bd48b3fabbf24ee9affff7f770881d64_143/explore?location=39.725671%2C-104.897975%2C10.12,,,
Denver Sidewalks Asset,Denver Sidewalks Asset,pedestrian,,City of Denver,CO,Denver,Open Data,2025,,,https://opendata-geospatialdenver.hub.arcgis.com/datasets/geospatialDenver::sidewalks-asset/about,,,
Delaware Sidewalks 2.0,Sidewalks 2.0,pedestrian,,Delaware,DE,Delaware,Open data,2023,,,https://de-firstmap-delaware.hub.arcgis.com/datasets/delaware::delaware-sidewalks-2-0/about,,,
Miami-Dade Bike Lane,Bike Lane,bike,,Miami-Dade County,FL,Miami-Dade County,Open data,2023,,,https://gis-mdc.opendata.arcgis.com/datasets/bike-lane/about,,,
Kansas Bike Routes Designated Bicycle Routes,,bike,,Kansas DOT,KS,Kansas,Open data,,,,,https://kanplan.ksdot.gov/arcgis_web_adaptor/rest/services/Bike/Designated_and_Priority_Bicycle_Routes/MapServer/23,,
Kansas Bike Routes Priority Bicycle Routes,,bike,,Kansas DOT,KS,Kansas,Open data,,,,,https://kanplan.ksdot.gov/arcgis_web_adaptor/rest/services/Bike/Designated_and_Priority_Bicycle_Routes/MapServer/3,,
Kansas Bike Routes Local Bikeways,,bike,,Kansas DOT,KS,Kansas,Open data,,,,,https://kanplan.ksdot.gov/arcgis_web_adaptor/rest/services/Bike/Designated_and_Priority_Bicycle_Routes/MapServer/4,,
Kansas Bike Routes Rail Trails of Kansas,,bike,,Kansas DOT,KS,Kansas,Open data,,,,,https://kanplan.ksdot.gov/arcgis_web_adaptor/rest/services/Bike/Designated_and_Priority_Bicycle_Routes/MapServer/17,,
Massachusetts Potential for Walkable Trips,Potential for Walkable Trips,pedestrian,,MassGIS,MA,Massachusetts,Open data,2022,,,https://gis.data.mass.gov/datasets/MassDOT::potential-for-walkable-trips-2022-update-2/about,,,
Massachusetts Potential for Everyday Biking,Potential for Everyday Biking,bike,,MassGIS,MA,Massachusetts,Open data,2022,,,https://www.arcgis.com/apps/mapviewer/index.html?panel=gallery&layers=d3d3fc48f91247d19ac9f9751cee9195,,,
Cambridge Bike Racks,Bike Racks,bike,,MassGIS / City of Cambridge,MA,Cambridge MA,Open data,2022,,,https://gis.data.mass.gov/datasets/0471709fa478463f9d495e60b7f71054_0/explore?location=42.377931%2C-71.112181%2C13.67,,,
Maryland Sidewalks,MDOT SHA OHD Pedestrian Facility - Sidewalks,pedestrian,,MDOT,MD,Maryland,Open data,2025,,,https://www.arcgis.com/home/item.html?id=d0a7b016e42a48a19fdfb49c31320e33,,,
Maine ADA Curb Ramp Inventory,,pedestrian,,Maine DOT,ME,Maine,Open data,,,,https://www.maine.gov/mdot/civilrights/ada/inventory/,,,
Michigan Road Inventory,,both,,Michigan DOT,MI,Michigan,Open data,,,,https://gis-mdot.opendata.arcgis.com/maps/0ec150d0dd7b459599e5b0cd98c7061c/about,,,
MnDOT Sidewalk Inventory,,pedestrian,,MNDOT,MN,Minnesota,Open Data,,,,https://www.arcgis.com/home/item.html?id=a2fa78b174bf49c991763d97e37c99ce,,,
Minneapolis Bike Inventory,RegionalBikewaysInventory,bike,,Metropolitan Council,MN,Twin Cities,Open Data,2016,42383,5,https://gisdata.mn.gov/dataset/us-mn-state-metc-trans-regional-bike-inventory,https://arcgis.metc.state.mn.us/server/rest/services/GISLibrary/RegionalBikewaysInventory/FeatureServer/0,,
Minneapolis Collaborative Bike Inventory,MetroCollaborativeTrailsBikeways,bike,,Metropolitan Council,MN,Twin Cities,Open Data,,43149,65,https://gisdata.mn.gov/dataset/us-mn-state-metrogis-trans-metro-colabtiv-trails-bike,https://arcgis.metc.state.mn.us/server/rest/services/GISLibrary/MetroCollaborativeTrailsBikeways/FeatureServer/0,,
Minneapolis Bicycle Barriers,BikeBarriers,bike,,Metropolitan Council,MN,Twin Cities,Open Data,,6764,4,https://arcgis.metc.state.mn.us/portal/home/item.html?id=58a363bbb79f4dccba2c5ac8491bc9d4,https://arcgis.metc.state.mn.us/server/rest/services/GISLibrary/BikeBarriers/FeatureServer/0,,
Albuquerque Bike Paths,Bike Path Type,bike,,City of Albuquerque,NM,Albuquerque,Open Data,,,,https://data.cabq.gov/community/bikepaths/,https://coagisweb.cabq.gov/arcgis/rest/services/public/fullviewer/MapServer/19,,
Albuquerque Trail Segments,trail_segments,both,,City of Albuquerque,NM,Albuquerque,Open Data,,,,https://data.cabq.gov/community/opentrails/,,,https://data.cabq.gov/community/opentrails/trail_segments.geojson
New York State Parks Trails,New York State Parks Trails,both,,New York,NY,New York,Open data,2024,,,https://data.gis.ny.gov/datasets/nysparks::ny-state-parks-trails/about,,,
New York State Bike Routes,New York State Bike Routes,bike,,New York,NY,New York,Open data,2023,,,https://data.gis.ny.gov/datasets/8c9602de1f244af9990eec7f3c65e81c_0/about,,,
New York State Sidewalks,New York State Sidewalks,pedestrian,,New York,NY,New York,Open data,2022,,,https://data.ny.gov/Transportation/Sidewalks/xcbb-dr8x/about_data,,,
NYC Pedestrian Ramp Locations,NYC Pedestrian Ramp Locations,pedestrian,,NYC,NY,NYC,Open data,2022,,,https://data.cityofnewyork.us/Transportation/Pedestrian-Ramp-Locations/ufzp-rrqu/about_data,,,
